2024-04-03 18:09:01.5361 | Hotel.MainForm..ctor | TRACE | Заполнение списка из базы данных... 

2024-04-03 18:09:01.5551 | Hotel.MainForm.FillListBoxWithGuests | TRACE | Используется  метод для заполненмия списка данными 

2024-04-03 18:09:01.5591 | Hotel.MainForm.GetGuestsFromDatabase | INFO | Загрузка метода, возвращающего список из полученных данных 

2024-04-03 18:09:01.6611 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-03 18:09:01.6611 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Запрос списка гостей с ID и именем 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:09:01.6741 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Список успешно возвращен. Затраченное время(мс): 20 

2024-04-03 18:09:01.6741 | Hotel.MainForm.FillListBoxWithGuests | TRACE | Список заполнен. Теперь список переносится в listbox 

2024-04-03 18:09:01.6741 | Hotel.MainForm..ctor | TRACE | Данные в таблицу успешно введены. Затраченное время(мс): 20 

2024-04-03 18:09:01.7181 | Hotel.MainForm.MainForm_Load | TRACE | происходит загрузка таймера... 

2024-04-03 18:09:01.7181 | Hotel.MainForm.MainForm_Load | TRACE | загрузка таймера прошла успешно. Затраченное время(мс): 20 

2024-04-03 18:09:29.5410 | Hotel.MainForm.closeButton_Click | INFO | Происходит закрытие приложения 

2024-04-03 18:23:01.6222 | Hotel.MainForm..ctor | TRACE | Заполнение списка из базы данных... 

2024-04-03 18:23:01.6482 | Hotel.MainForm.FillListBoxWithGuests | TRACE | Используется  метод для заполненмия списка данными 

2024-04-03 18:23:01.6482 | Hotel.MainForm.GetGuestsFromDatabase | INFO | Загрузка метода, возвращающего список из полученных данных 

2024-04-03 18:23:01.6957 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-03 18:23:01.6957 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Запрос списка гостей с ID и именем 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-03 18:23:01.7017 | Hotel.MainForm.GetGuestsFromDatabase | TRACE | Список успешно возвращен. Затраченное время(мс): 20 

2024-04-03 18:23:01.7017 | Hotel.MainForm.FillListBoxWithGuests | TRACE | Список заполнен. Теперь список переносится в listbox 

2024-04-03 18:23:01.7017 | Hotel.MainForm..ctor | TRACE | Данные в таблицу успешно введены. Затраченное время(мс): 20 

2024-04-03 18:23:01.7390 | Hotel.MainForm.MainForm_Load | TRACE | происходит загрузка таймера... 

2024-04-03 18:23:01.7390 | Hotel.MainForm.MainForm_Load | TRACE | загрузка таймера прошла успешно. Затраченное время(мс): 20 

