2024-04-04 23:42:17.9061 | Hotel.MainForm.closeButton_Click | INFO | Происходит закрытие приложения 

2024-04-04 23:42:35.0812 | Hotel.MainForm..ctor | TRACE | Заполнение списка из базы данных... 

2024-04-04 23:42:35.1442 | Hotel.MainForm.FillListBoxWithAllGuests | TRACE | Используется  метод для заполненмия списка данными 

2024-04-04 23:42:35.1442 | Hotel.MainForm.GetAllGuestsFromDB | INFO | Загрузка метода, возвращающего список всех гостей из полученных данных 

2024-04-04 23:42:35.2252 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-04 23:42:35.2252 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Запрос списка гостей с ID и именем 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Произошло присваивание элементам списка значений из базы данных 

2024-04-04 23:42:35.2352 | Hotel.MainForm.GetAllGuestsFromDB | TRACE | Список успешно возвращен. Затраченное время(мс): 20 

2024-04-04 23:42:35.2352 | Hotel.MainForm.FillListBoxWithAllGuests | TRACE | Список заполнен. Теперь список переносится в listbox 

2024-04-04 23:42:35.2352 | Hotel.MainForm.LoadGuestData | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'номер' вводятся данные из бд 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'фио' вводятся данные из бд 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата заезда' вводятся данные из бд 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата выезда' вводятся данные из бд 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'статус' вводятся данные из бд 

2024-04-04 23:42:35.2462 | Hotel.MainForm.LoadGuestData | INFO | Присваивание происходит с помощью конструкции 'switch' 'case' 

2024-04-04 23:42:35.2462 | Hotel.MainForm..ctor | TRACE | Данные в таблицу успешно введены. Затраченное время(мс): 20 

2024-04-04 23:42:35.2822 | Hotel.MainForm.MainForm_Load | TRACE | происходит загрузка таймера... 

2024-04-04 23:42:35.2822 | Hotel.MainForm.MainForm_Load | TRACE | загрузка таймера прошла успешно. Затраченное время(мс): 20 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'номер' вводятся данные из бд 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'фио' вводятся данные из бд 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата заезда' вводятся данные из бд 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата выезда' вводятся данные из бд 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'статус' вводятся данные из бд 

2024-04-04 23:42:37.5965 | Hotel.MainForm.LoadGuestData | INFO | Присваивание происходит с помощью конструкции 'switch' 'case' 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'номер' вводятся данные из бд 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'фио' вводятся данные из бд 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата заезда' вводятся данные из бд 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'дата выезда' вводятся данные из бд 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | TRACE | В поле 'статус' вводятся данные из бд 

2024-04-04 23:42:39.8389 | Hotel.MainForm.LoadGuestData | INFO | Присваивание происходит с помощью конструкции 'switch' 'case' 

2024-04-04 23:42:41.4258 | Hotel.MainForm.openGuestFormButton_Click | TRACE | Создание формы клиента (карточки гостя) 

2024-04-04 23:42:41.4338 | Hotel.GuestForm.LoadGuestData | TRACE | Подключение с базой данных HotelDB установлено 

2024-04-04 23:42:41.4338 | Hotel.GuestForm.LoadGuestData | TRACE | В поле 'фио' вводятся данные из бд 

2024-04-04 23:42:41.4338 | Hotel.GuestForm.LoadGuestData | TRACE | В поле 'дата рождения' вводятся данные из бд 

